project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-13,subproject-24,rca-75,program-77,1008,842.56,994.02,1168.08,1146.55,951.09,project-13-subproject-24-rca-75program-77
project-19,subproject-21,rca-66,program-25,29634,34273.85,39678.4,41418.87,40318.48,34710.73,project-19-subproject-21-rca-66program-25
project-13,subproject-9,rca-36,program-96,5822,3066.16,2497.16,2504.83,2265.75,2042.9,project-13-subproject-9-rca-36program-96
project-8,subproject-5,rca-64,program-40,26009,13651.07,11919.57,12082.16,8199.73,6776.43,project-8-subproject-5-rca-64program-40
project-7,subproject-39,rca-20,program-20,8805,8134.39,8951.43,10483.53,7486.2,6075.57,project-7-subproject-39-rca-20program-20
project-20,subproject-5,rca-73,program-55,24264,27215.38,24574.78,30646.26,19620.43,16776.38,project-20-subproject-5-rca-73program-55
project-3,subproject-30,rca-2,program-62,27776,18529.27,21306.77,21367.28,20869.35,17357.29,project-3-subproject-30-rca-2program-62
project-8,subproject-30,rca-50,program-26,1349,819.45,683.51,644.7,593.43,572.46,project-8-subproject-30-rca-50program-26
project-3,subproject-27,rca-16,program-52,5320,3159.47,3334.97,3201.55,3420.48,2752.58,project-3-subproject-27-rca-16program-52
project-3,subproject-14,rca-22,program-77,23013,20617.35,17700.93,14698.59,15011.83,12103.74,project-3-subproject-14-rca-22program-77
project-11,subproject-9,rca-22,program-16,4493,2553.37,2994.03,2607.08,2480.63,2196.43,project-11-subproject-9-rca-22program-16
project-17,subproject-14,rca-54,program-117,16756,17710.71,14517.78,12849.48,7775.1,6984.28,project-17-subproject-14-rca-54program-117
project-19,subproject-6,rca-26,program-47,29331,33933.68,35419.6,42212.98,27268.19,25673.43,project-19-subproject-6-rca-26program-47
project-20,subproject-7,rca-39,program-66,14449,11870.73,10632.52,12747.6,14265.38,11607.51,project-20-subproject-7-rca-39program-66
project-13,subproject-27,rca-67,program-76,29250,25672.31,24810.35,21823.62,16355.98,15845.85,project-13-subproject-27-rca-67program-76
project-16,subproject-25,rca-16,program-11,2707,1428.97,1363.15,1532.33,1541.03,1479.23,project-16-subproject-25-rca-16program-11
project-7,subproject-36,rca-34,program-33,7269,3880.4,4612.23,5611.63,5216.97,4316.84,project-7-subproject-36-rca-34program-33
project-9,subproject-3,rca-80,program-109,11151,10575.37,10987.06,13731.43,13696.96,11932.66,project-9-subproject-3-rca-80program-109
project-3,subproject-34,rca-37,program-64,28901,34554.87,27957.41,34841.58,31011.27,30429.37,project-3-subproject-34-rca-37program-64
project-5,subproject-4,rca-56,program-81,20710,18974.52,15554.9,15998.38,18399.9,17350.83,project-5-subproject-4-rca-56program-81
project-15,subproject-15,rca-48,program-88,1027,709.56,606.22,440.06,300.89,291.68,project-15-subproject-15-rca-48program-88
project-20,subproject-17,rca-72,program-6,26285,31148.33,29058.5,24709.38,15867.89,14312.17,project-20-subproject-17-rca-72program-6
project-8,subproject-21,rca-49,program-64,18814,17164.21,17390.42,15813.76,12673.2,12576.1,project-8-subproject-21-rca-49program-64
project-1,subproject-22,rca-25,program-5,21581,14768.49,12759.68,12030.46,8548.72,8239.52,project-1-subproject-22-rca-25program-5
project-15,subproject-26,rca-31,program-88,5661,6462.59,5516.76,5917.61,3966.46,3940.69,project-15-subproject-26-rca-31program-88
project-8,subproject-17,rca-30,program-91,8640,6666.52,7218.42,5078.15,5277.01,4567.17,project-8-subproject-17-rca-30program-91
project-14,subproject-28,rca-63,program-63,6122,7611.28,9015.75,10013.8,6431.81,5603.93,project-14-subproject-28-rca-63program-63
project-20,subproject-35,rca-29,program-24,16920,11244.77,9253.96,11162.43,8314.3,7316.13,project-20-subproject-35-rca-29program-24
project-17,subproject-30,rca-55,program-1,17370,14672.32,14963.35,9070.62,10304.31,8477.19,project-17-subproject-30-rca-55program-1
project-17,subproject-11,rca-22,program-98,19276,19360.01,22436.26,28755.62,33076.04,28073.55,project-17-subproject-11-rca-22program-98
project-13,subproject-11,rca-62,program-88,9103,6172.26,5125.7,3086.92,2625.36,2453.09,project-13-subproject-11-rca-62program-88
project-16,subproject-13,rca-59,program-25,19811,25536.38,21155.31,22335.1,25518.14,23243.75,project-16-subproject-13-rca-59program-25
